Date,Open,High,Low,Close,Volume
2020-09-28,33.71768822639937,33.79510141584389,33.365028870306126,33.65747833251953,24275700
2020-09-29,33.60587097340878,33.87251715292686,33.399437973492454,33.59727096557617,16353700
2020-09-30,33.623079657276215,34.14776881135082,33.56286974922115,33.88112258911133,27113200
2020-10-01,33.94187665878314,34.12417570685932,33.48179599642438,33.681453704833984,20763500
2020-10-02,33.030399917797546,33.46443934723367,32.96095533104595,33.221378326416016,24493000
2020-10-05,33.40367665828398,33.67278231733346,33.23006021087974,33.48180389404297,26929100
2020-10-06,33.42103863417023,34.15890439631534,33.334232066197266,33.48180389404297,28430800
2020-10-07,33.83770626093689,34.358555451376894,33.664089864123554,34.202301025390625,20593700
2020-10-08,34.54953473846257,34.87940560165784,34.42800423924793,34.540855407714844,19031300
2020-10-09,34.8533714350459,34.922816029621444,34.48009721875939,34.59294509887695,16167500
2020-10-12,34.662389426980035,35.18323542263818,34.40196642915096,35.03566360473633,22757200
2020-10-13,35.19192095192204,35.25268621268376,34.471413843663946,34.558223724365234,23438300
2020-10-14,34.592946333829325,35.08775109188116,34.51481909248122,34.62767028808594,16439100
2020-10-15,34.26307360781937,34.7231543432002,34.158901760539976,34.697113037109375,15451400
2020-10-16,34.61899185428909,34.98358344907616,34.332524191420426,34.86205291748047,21292500
2020-10-19,34.85337048371629,35.053028240926615,33.99397088302477,34.115501403808594,19600500
2020-10-20,34.2370389142581,34.29780418705555,33.88112661153347,34.02870178222656,16564900
2020-10-21,34.124181429239684,34.34988047745506,33.83771381383678,33.907161712646484,17016300
2020-10-22,33.72485951069999,33.82034870699093,33.31686473308116,33.69881820678711,20399000
2020-10-23,33.794307403078044,33.82903134926707,33.551246402670415,33.69881820678711,15556100
2020-10-26,33.334227636699325,33.36026894133915,32.24912912393513,32.70052719116211,29146500
2020-10-27,32.44879515899699,32.552963715678715,31.763011928636598,32.006072998046875,37911500
2020-10-28,31.528624561787556,31.693558356366207,30.973054610093026,30.999095916748047,34561500
2020-10-29,30.825475066964458,31.31160036084768,30.625817351117146,30.98172950744629,35332000
2020-10-30,30.90360946155239,31.19007710609245,30.808123558164116,31.16403579711914,29151200
2020-11-02,31.4157761772641,31.55466867755244,30.964374723462388,31.16403579711914,23483100
2020-11-03,31.563346254345976,32.40538376485896,31.5112603333028,31.84113121032715,27342900
2020-11-04,32.144953302179715,32.37933494928992,31.68487264940272,31.745637893676758,30121900
2020-11-05,32.136277246650124,32.379338248512454,32.0407880497877,32.318572998046875,23149700
2020-11-06,32.60503936552608,32.63975999916266,32.18836195876808,32.57899475097656,19475300
2020-11-09,34.653707441575996,34.922813087599565,33.09116611348845,33.160614013671875,42649500
2020-11-10,33.169292694176804,33.881117099789336,33.1345687447669,33.61201477050781,31514500
2020-11-11,33.863756050627565,34.245712881659706,33.36895134811609,34.141544342041016,27332800
2020-11-12,33.83770911898814,34.193621272361256,33.334225168306524,33.568603515625,29368300
2020-11-13,35.764852485265386,36.04263747722619,35.209282501343786,35.93846893310547,49106400
2020-11-16,36.23361523069899,36.97148098104642,35.8950616735176,36.928077697753906,34572600
2020-11-17,36.38986513929981,36.76313932342886,36.12944213702465,36.35514450073242,23140900
2020-11-18,36.37250588754097,36.66765283506864,35.81693263049153,35.8690185546875,21327700
2020-11-19,35.59123585078038,35.91242412515227,35.39157809582173,35.738807678222656,22177700
2020-11-20,35.634637765498205,35.929784720500955,35.52178658261117,35.56519317626953,19776300
2020-11-23,35.6172761515661,36.28569730089451,35.608596819621305,36.14680480957031,19651400
2020-11-24,36.58085141801669,37.07565622216203,36.37251429598647,36.98884963989258,22849700
2020-11-25,37.136421215652,37.15378319426844,36.641616415189276,36.89336013793945,22617700
2020-11-27,37.205851834008456,37.310020345822835,37.01487346946768,37.066959381103516,10769500
2020-11-30,36.84126969615763,37.37079838908835,36.81522838714741,37.344757080078125,34741600
2020-12-01,37.33607374698855,38.25623861538122,37.33607374698855,37.79615783691406,23942500
2020-12-02,37.66593998470326,38.16074465394854,37.63121603667883,38.099979400634766,17422200
2020-12-03,38.0044907960284,38.31699971023925,37.84823633892297,38.290958404541016,27710700
2020-12-04,38.09997338702446,38.63818125062185,38.09997338702446,38.525333404541016,17319800
2020-12-07,38.44721548075866,38.62083192397606,38.11734456979142,38.499298095703125,14086800
2020-12-08,38.3777738972047,38.65555892750233,38.134712823558964,38.516666412353516,13348500
2020-12-09,38.60347372662163,38.915982692706486,38.50798450793364,38.79444885253906,22679800
2020-12-10,38.664233568060695,38.724998823892406,38.290959389975576,38.4732551574707,17741500
2020-12-11,38.143384260485654,38.48193780056557,37.95240916135375,38.4732551574707,14577700
2020-12-14,38.42985371606232,38.985423688238484,38.32568517414385,38.403812408447266,16112300
